,rating,variance,rating_q975,rating_q025,num_battles,final_ranking
RWKV-4-Raven-14B,921.6376240100466,25.488447176682318,932.1944984844176,912.3380376582435,4941,114
alpaca-13b,901.4885742309033,15.848417702977383,908.8956854510176,895.6508441033365,5875,118
athene-70b-0725,1247.749852344622,13.292883262313978,1255.0650075803003,1241.032403747564,7264,8
bard-jan-24-gemini-pro,1208.6446692995733,8.410399966353145,1213.4683508622027,1203.199595520704,11828,20
chatglm-6b,878.9328926758554,22.64678169859684,887.9362827789887,870.0099371414815,4998,119
chatglm2-6b,923.8800574910612,45.18061269898919,935.8048153151877,910.2295561530754,2709,114
chatglm3-6b,955.27864775387,19.90056519786256,962.9800694305575,945.9054410977233,4763,112
claude-1,1148.724746579166,6.5144709475076015,1152.9945833709994,1143.5511651214806,21180,41
claude-2.0,1131.4046089263848,9.767772238807805,1137.6513926128414,1125.396839052064,12783,49
claude-2.1,1118.1413338266243,3.443120866076773,1121.3038465319923,1114.383503692506,37706,52
claude-3-5-sonnet-20240620,1271.1030296503868,3.4032118619113048,1275.0497846518126,1267.8279572125205,41981,3
claude-3-haiku-20240307,1178.3448019411153,1.2060225304060772,1180.5909411279513,1176.0677863246756,107850,31
claude-3-opus-20240229,1247.9127883660422,1.190413114241514,1250.2412250025955,1245.8531817169828,152161,10
claude-3-sonnet-20240229,1200.8666567319133,1.6841042323812927,1203.3522750356544,1198.053258505491,113148,23
claude-instant-1,1111.163021963746,4.70260009900815,1115.4863973442182,1107.2062127364916,20632,56
codellama-34b-instruct,1042.371624984131,10.675386195638188,1048.5681953128458,1036.6440822987215,7510,90
codellama-70b-instruct,1042.031021362789,77.65140876360712,1055.9948838974192,1020.2629539048496,1193,88
command-r,1148.6809897053563,1.9960030268924038,1151.6515835644386,1145.9349924346266,56407,42
command-r-plus,1189.6933302959915,1.4177623455837605,1191.9876548546317,1187.5667489742716,80931,27
dbrx-instruct-preview,1103.0780495088661,3.3848958887658362,1106.079664442515,1099.3861164349594,33727,62
deepseek-coder-v2,1178.2954521828697,6.559376659535838,1182.5258235599015,1173.2069093380405,15804,31
deepseek-llm-67b-chat,1076.6964635864765,15.781266948790782,1083.9395000335528,1069.029439310905,4982,75
deepseek-v2-api-0628,1220.3016345203919,6.226604656665782,1225.4464269869818,1215.2883968531112,12341,17
dolly-v2-12b,822.4086295403623,33.033682020318544,834.5427599348089,811.2305089404928,3487,122
dolphin-2.2.1-mistral-7b,1062.2754398255893,53.10645488132969,1078.5373006574123,1047.625367652605,1715,76
falcon-180b-chat,1034.0304172681394,87.42051445270027,1051.822747030861,1012.982921593305,1326,89
fastchat-t5-3b,868.4617719322451,25.70236931230483,876.7365994404511,859.0279631006202,4307,120
gemini-1.5-flash-api-0514,1227.5593237014814,2.3505666644694863,1230.187322679324,1224.3362753026372,52239,17
gemini-1.5-pro-api-0409-preview,1257.1849202903531,2.298738015022322,1260.0205617092392,1254.7855411846044,55661,6
gemini-1.5-pro-api-0514,1260.3652708735058,1.8319539134251828,1263.055750137859,1258.1420494417557,63758,6
gemini-1.5-pro-exp-0801,1299.2243863203976,5.310411832632141,1304.0644840525906,1294.8311332098538,14361,1
gemini-advanced-0514,1266.2156217734205,2.553407203808246,1269.7149921752223,1263.6647806578742,51783,4
gemini-pro,1110.6510959268362,13.597233583588842,1117.778349664311,1101.558916042785,6569,56
gemini-pro-dev-api,1131.1284024962242,4.989133350283497,1135.1999147583558,1126.9512328364233,18789,49
gemma-1.1-2b-it,1020.2946803796518,8.660145193749115,1025.9235781575715,1015.0988577566658,11375,101
gemma-1.1-7b-it,1083.5218314637502,3.876862542072155,1087.3035767052545,1079.8532123178231,25103,71
gemma-2-27b-it,1217.767216576413,3.4381561954109388,1220.631549179385,1213.9673667247048,23901,18
gemma-2-2b-it,1128.5619312594276,14.097566129650533,1135.7870391462554,1121.2403214159147,6131,49
gemma-2-9b-it,1187.0824639683447,3.8114221518803437,1190.5764807383332,1183.3687102130293,23254,27
gemma-2b-it,989.4751939451975,24.171288806562295,998.8294997381047,979.3124726074037,4920,108
gemma-7b-it,1037.2509959138265,9.442191801771067,1043.5281226006862,1031.9816240716016,9178,92
glm-4-0116,1182.936648666972,7.588132302683647,1188.3980235100755,1177.6007562919392,7585,27
glm-4-0520,1206.612420655979,7.032061750756943,1212.2715832109257,1202.2648431397836,10252,20
gpt-3.5-turbo-0125,1105.6074910897632,1.6471548516078596,1108.2436733501017,1103.217214455349,68896,60
gpt-3.5-turbo-0314,1106.106156241588,18.090499501109207,1114.9721788821669,1099.3450943789937,5661,56
gpt-3.5-turbo-0613,1116.7588184336591,3.144608011489015,1119.56083131126,1113.2697443101379,38962,54
gpt-3.5-turbo-1106,1067.8792211416444,6.371004758760373,1073.8667237825164,1063.26059865398,17030,77
gpt-4-0125-preview,1245.5087945634377,1.5435724768050307,1247.967535241367,1243.06366179548,83902,11
gpt-4-0314,1186.046762732326,2.353164171848685,1188.7771530048756,1182.9457022209788,55974,27
gpt-4-0613,1161.9552987693874,1.61241255018544,1164.3666555805833,1159.265521322038,87612,35
gpt-4-1106-preview,1250.8923710227868,1.394712681270298,1253.2689876301604,1248.365601822911,90610,10
gpt-4-turbo-2024-04-09,1256.6318832475317,2.2407105745448095,1259.206181692429,1254.0655824200944,80673,6
gpt-4o-2024-05-13,1286.0673520492296,2.2622217290339535,1288.8389675647447,1283.3515913539377,71665,2
gpt-4o-mini-2024-07-18,1277.085071600975,4.159672044713463,1281.117878005951,1273.2684745152449,14800,3
gpt4all-13b-snoozy,931.4134652415739,56.805839385600656,946.7723753786366,919.5746259376936,1787,113
guanaco-33b,1032.4398154281832,32.40889558208036,1044.1079159262385,1021.879512743903,3003,92
koala-13b,964.1398736490975,20.550685846961006,973.1692239253332,957.3479541921818,7042,112
llama-13b,798.7647420748768,36.74458357787858,810.0782732376301,787.1866036971282,2443,124
llama-2-13b-chat,1063.2068193895839,4.898664539571444,1067.235248474308,1059.4909046709347,19756,82
llama-2-70b-chat,1092.966461982076,3.0933998983487583,1096.0970215788232,1089.8329955684824,39627,69
llama-2-7b-chat,1036.735283517843,7.05814469830332,1041.833773699982,1031.7247089625039,14568,92
llama-3-70b-instruct,1206.125791099701,1.1624832782474985,1208.3753035094605,1204.158150913628,159592,20
llama-3-8b-instruct,1151.6219263917583,1.3700038268487575,1153.489996003838,1149.5626748025923,104979,41
llama-3.1-405b-instruct,1263.0791611288469,6.742259931427486,1268.527149877187,1258.7297194297569,12081,4
llama-3.1-70b-instruct,1240.4860814258236,12.334556836013627,1246.7964347265054,1234.2374897288914,7361,11
llama-3.1-8b-instruct,1162.0156393223542,12.998258941726126,1169.0925016020005,1155.644447742072,6500,35
llama2-70b-steerlm-chat,1080.4719798280437,26.827368472103068,1089.6327821932634,1070.2707833389745,3636,71
mistral-7b-instruct,1008.1372072322329,8.911927607050862,1013.9931671916651,1001.6167128347315,9149,104
mistral-7b-instruct-v0.2,1072.2687237410555,5.492040018318839,1076.2229905870952,1068.367298049829,20062,76
mistral-large-2402,1157.1351675437618,1.6499012471076482,1159.4714590145823,1154.5348873602939,64958,36
mistral-large-2407,1248.1892139359288,11.136579552084706,1253.746387815044,1240.2475779052538,5612,10
mistral-medium,1147.6632151604827,2.679291433343818,1151.1791337761756,1143.9447682851433,35564,42
mistral-next,1124.3541357509707,6.2370488145773715,1128.7936563827116,1119.045297232802,12379,49
mixtral-8x22b-instruct-v0.1,1146.0717548373786,2.5491536014060743,1149.2290581835111,1142.7790070622202,48081,43
mixtral-8x7b-instruct-v0.1,1114.0,0.0,1114.0,1114.0,75510,58
mpt-30b-chat,1045.1893272232935,27.94956794769252,1055.3778831412953,1037.0402451600405,2649,88
mpt-7b-chat,927.0108751789647,25.179923377688784,936.8608222932511,918.1140692067422,4021,114
nemotron-4-340b-instruct,1208.9483489382042,5.0661204109052855,1212.9022546466506,1204.8179412341183,20673,20
nous-hermes-2-mixtral-8x7b-dpo,1084.3888169037773,21.081464827868082,1093.13307772361,1075.2037113106287,3845,69
oasst-pythia-12b,893.4831412130388,21.49220125393639,902.3366025531739,886.6560466170098,6388,118
olmo-7b-instruct,1015.2101247683454,15.392955829343157,1022.4170888585472,1007.4014458275556,6497,101
openchat-3.5,1076.2877440646225,12.076616005949889,1082.828217672994,1069.4097421082529,8121,75
openchat-3.5-0106,1091.251015938625,6.148999419265539,1095.788690377501,1085.5492865233732,12988,69
openhermes-2.5-mistral-7b,1074.558822608247,14.872156379540895,1082.345682737889,1066.6328402362728,5090,75
palm-2,1003.3577768738363,13.797632602121054,1010.6782381926637,996.6328881573678,8748,105
phi-3-medium-4k-instruct,1122.6456091409743,4.5335355715442045,1126.6813246994707,1118.426435296567,20361,50
phi-3-mini-128k-instruct,1036.5557696679534,4.086572752551186,1040.8181711827274,1032.9575814640045,21615,92
phi-3-mini-4k-instruct,1066.1065582912372,5.768257754792071,1070.6875499998691,1061.502459809888,21145,77
phi-3-mini-4k-instruct-june-2024,1063.4288623555894,8.980200677680333,1068.6783904143708,1056.6503749253782,8437,81
phi-3-small-8k-instruct,1101.4088224703314,3.9546176378837616,1104.6936218247345,1097.4927100435466,18519,63
pplx-70b-online,1077.8429504549554,15.088101326797188,1083.4954697538915,1068.998408148862,6893,75
pplx-7b-online,1044.5207094033826,13.700681797702666,1051.5815333775572,1038.0066833027058,6337,89
qwen-14b-chat,1034.7013684861795,20.501669663953077,1044.6053477213393,1028.184482437634,5074,92
qwen-max-0428,1183.0101105481772,3.6286542269486692,1186.8997826942825,1179.5100700658306,25754,28
qwen1.5-110b-chat,1161.4135566079408,3.897346319497137,1165.071430689975,1157.135001245841,27505,35
qwen1.5-14b-chat,1108.5709226032068,4.225805376525014,1112.7580738304919,1104.8409743092056,18669,60
qwen1.5-32b-chat,1125.3654904864893,4.4360044726312395,1129.0567105406146,1121.5639713985329,22772,49
qwen1.5-4b-chat,988.3946300554397,8.80417634569245,994.6393126500475,983.6000494313573,7812,110
qwen1.5-72b-chat,1147.2192851562654,2.4903016312174446,1150.2675132631853,1144.6108730554126,40664,42
qwen1.5-7b-chat,1069.9036939348207,24.41352054203819,1079.5606866599283,1060.35378775921,4864,76
qwen2-72b-instruct,1186.7318457798142,3.154468086428341,1189.5647151429096,1183.0056863820414,32480,27
reka-core-20240501,1199.3602004636405,1.701769299032347,1201.7385166426343,1196.7024863461256,62709,25
reka-flash-21b-20240226,1147.3018578556298,4.047534345593113,1150.8952982109895,1143.4941667330825,25805,42
reka-flash-21b-20240226-online,1155.6248395049379,3.297486947035795,1159.0367852482943,1152.1356847592106,16046,37
reka-flash-preview-20240611,1165.1558243680383,4.117163978752476,1169.6657555256081,1161.8882001585114,20469,35
snowflake-arctic-instruct,1089.6179209430488,3.6121069446125347,1093.1779239677774,1085.669155374448,34216,69
solar-10.7b-instruct-v1.0,1062.1580128304356,18.377166423825997,1069.9578002676146,1053.6644726454278,4292,78
stablelm-tuned-alpha-7b,839.6961724366518,27.655457845808655,850.6989622981077,829.4084407436621,3335,122
starling-lm-7b-alpha,1088.2665275871768,8.062546115887194,1093.7858946577867,1084.2194475023248,10421,69
starling-lm-7b-beta,1118.6730696378304,5.178140251944694,1122.9815283348769,1114.1418320891084,16665,51
stripedhyena-nous-7b,1017.2316233093346,12.946298574323254,1025.4316242937364,1010.2288967184871,5266,101
tulu-2-dpo-70b,1099.3485954739483,16.07390276350294,1107.2084210555465,1091.2499816575908,6667,61
vicuna-13b,1041.664163421849,5.544391169010103,1045.70729192058,1036.236141631143,19799,92
vicuna-33b,1090.5643211160393,4.069879709724026,1094.287958516228,1086.690382344678,22952,69
vicuna-7b,1004.8411445006535,13.226716448502192,1011.6895350650578,998.3136991865825,7023,105
wizardlm-13b,1058.3930745698708,14.490797694838209,1065.5544249683176,1050.6660469950896,7194,83
wizardlm-70b,1106.0383321499562,8.817696642131862,1112.040950182381,1100.303949874246,8392,60
yi-1.5-34b-chat,1156.8725370186808,3.0613025467161963,1160.5311313072564,1154.231703348291,25164,36
yi-34b-chat,1111.1552902107367,5.0102848175458705,1115.6486685433824,1107.360570374337,15952,56
yi-large,1212.4344325488714,5.917393427295249,1217.277769542879,1207.815360849665,16667,18
yi-large-preview,1239.6152989381008,2.3385129596179537,1242.8913030582564,1236.956048143971,51757,13
zephyr-7b-alpha,1041.3044130414714,32.01010329259858,1052.4191501384996,1031.1807252827039,1817,89
zephyr-7b-beta,1053.0490588576872,8.186813303944533,1058.3761259314024,1047.3633496825037,11331,87
zephyr-orpo-141b-A35b-v0.1,1127.079766470627,14.170193109750432,1135.1990982512802,1120.2672055688588,4863,49
